symptoms	sentences
disgusting	Any other symptoms? Disgusting.
gastrointestinal dysfunction	It's probably a gastrointestinal disorder.
diarrhea	This one's mostly for diarrhea. You don't have to eat without diarrhea.
diarrhea	Hello. How long has this been going on? Have you had a diarrhea?
heat	Have you got a fever?
abdominal pain	Hello! Do you have a stomach ache or a chest?
disgusting,cough	There's no cough or nausea.
helicobacter infection	(you u u u u up)
hemorrhoid	Hemorrhoids and anal fractures you have committed.
hemorrhoid	As a first step, potassium permanganate is melted with warm water and bathed for 30 minutes, twice a day. As a second step, it is dried after bathing, and iodized three times. As a third step, it is painted twice with maroon hemorrhoids. Step four, oral Muslin capsules, Yunnan white capsules, external anal embolism! Step five, pain with Fen's capsule! Step six, clean the anus with running water every time!
hemorrhoid	What are you talking about?
hiccup,counter-current,abdominal distention	I don't know what you're talking about.
diarrhea	Except for diarrhea, do you have any other symptoms when you don't eat cold food?
frustration	That's how it doesn't get up. Are your lower limbs incompetent?
hiccup,counter-current,hot heart	Hello, there's no anti-acid hiccup with abnormally bruised heart.
diarrhea,abdominal pain	Abdominal diarrhea has no. The situation varies from place to place, around 380...
hemorrhoid	This consideration is the appearance of hemorrhoids, which are mild. It would be better to treat the machete for a few days.
abdominal distention,abdominal pain	There's no abdominal pains, symptoms of abdominal swelling.
indigestion	It's a bad digestion, and occasionally it's a small bite.
diarrhea	Hello, how long has it been?
seung jo	Hello! You're probably dysentery. You can eat thugs. I can't eat penicillin with allergies.
counter-current,hot heart	Is there any anti-acid fever? Is there anything else?
hemorrhoid	There must be hemorrhoids.
counter-current,hot heart	Hello! There are no other symptoms that need to be supplemented. Do you usually have anti-acid burns?
seung jo	Allergies to the smell? Do you usually eat a lot of noodles?
abdominal distention,abdominal pain	Any abdominal swelling?
diarrhea	If diarrhea stops, it won't be a big problem.
restlessness	Is there any time lag between three or four shits a day? Are you taking drugs? Amnesia?
loose stool	What kind of drugs? How many times a day?
diarrhea,seung jo,abdominal pain	In response to this consultation, the doctor updated the concluding recommendation: Diarrhea drug use recommendation: to use the medications in gold or whole intestinal + truncated test, to heat up the abdominal pain relief. Drink more water and, if there is a high incidence of diarrhea, recommend infusion treatment to prevent hydrolysis of the alkali balance. It is also possible to check the routine and poo culture to see if there is inflammation. In cases of inflammation, it is recommended that the drug masked + saffron (the anti-inflammation drug is, of course, more effective, but the adverse effects are greater, and it is prohibited for pregnant women, and for pregnant women under the age of 18 years. Dr. Spring Rain is not allowed to prescribe prescriptions. It is recommended only for information.
indigestion	It's supposed to be indigestion, constipation, drink more water and exercise properly.
abdominal pain	The causes of abdominal pain are more likely to be intestinal, urinary, gynecology, pancreatic, etc.
ventilation	Yeah. The intestinal problem can be much better after venting.
urgent urination,frequent urination	Did you pee a lot?
difficult eating,restlessness	"The stomach needs a three-point pill and a seven-point nutrient." I. Abstinence from bad habits and from tobacco and alcohol.(ii) Eat on time, in quantity and quality, and eat breakfast early in the morning. Three meals per day are scheduled on time and at the appointed time, whether hungry or not, they are fed.2 Three meals per day, measured by volume, are not to eat more than they want to eat and do not want to eat. Eat 7 cents.3 In terms of quality, attention is given to the quality of the diet. The temperature of the diet should be “no heat or no cold”. Less fried food, less pickled food and more vitamin-rich foods such as fruits and vegetables. This post is part of our special coverage Egypt Protests 2011. Participation in appropriate physical exercise and physical fitness. This will undoubtedly help not only with the maintenance of stomach disease.5- Keeping the spirit happy and the mood stable and avoiding tension, anxiety, anger, etc.
sticky stool	Ta-da.
diarrhea	Diarrhea allayed, too?
diarrhea,counter-current,abdominal distention,hot heart	Are there anti-acid, heartburn, diarrhea, abdominal swelling symptoms?
spasms,abdominal pain	Upper abdominal pain may result in damage to the abdominal apparatus or intestinal cramps.
abdominal pain	Have you seen abdominal pain before at the hospital? What's the diagnosis?
gastrointestinal discomfort,abdominal distention,abdominal pain	During the course of the year, increases in diet and meat are likely to cause symptoms such as abdominal discomfort, abdominal swelling and pain.
indigestion	1.© Avoiding irritant foods such as acidic and over-salamiic foods and foods such as cold and immobilized foods.2nd floor. 2nd floor. 2nd floor. 2nd floor. The diet is regularly quantified, with more vitamin-rich foods and less pickled and roasted foods. This is the first time I've ever seen a woman in my life. Stimulative drinks such as cessation of smoking, alcohol, tea, coffee, etc. This post is part of our special coverage Egypt Protests 2011. Prudent use of medicines that damage the glucose membranes of the stomach, such as aspirin, acetaminophen, etc.
abdominal distention	There's no abdominal swelling.
gastrointestinal dysfunction	Gastrointestinal dysfunctions are accompanied by a lack of motivation.
blood in stool	I'm sorry, I don't know what you're talking about.
indigestion	It is indigestion, using drugs such as digestive enzymes or edible tablets for a few days, and if the symptoms continue to improve after use, it is recommended that the consultations be repeated.
counter-current,hot heart	The neck problem takes into account the effects of cervical vertebrae disease. There's no anti-acid fever? Now.
counter-current	Well, that's probably counter-float.
abdominal pain	Any abdominal pain?
abdominal distention,gastrointestinal discomfort	According to your description, considering that digestion may not be good, you are advised to eat regularly, eat more vegetables, fruits, and exercise properly. Otherwise, the exercise of the gastrointestinal will be affected, which will affect defecation, and if the stomach swells, you can have a bit of thorium, which will help promote the exercise of the gastrointestinal.
stomach ache,counter-current,abdominal distention,hiccup	Hiccup anti-acid water? Is the abdominal swelling? Are there any other symptoms besides stomach pains?
hemorrhoid	Okay, by the way, did you have hemorrhoids?
stomach ache	Well, do you have stomach pains at night?
stomach ache	Have you ever had a stomachache for breakfast?
counter-current,hot heart	Besides, do you have any anti-acid water that burns your heart?
gastrointestinal dysfunction,hemorrhoid	Well, you may have a gastrointestinal dysfunction, and you may also have rectum entrails.
hemorrhoid	In the case of hemorrhoids, it is recommended to eat more vegetables and warm fruits, as well as groceries, etc., in order to keep the intestinal system clean. Reducing the risk of hemorrhage.
diarrhea	You don't have to eat. If you have diarrhea.
disgusting	Hello, please tell me exactly where it hurts. Is there any nausea? How's the shit?
disgusting	Is there any nausea?
disgusting	I'm sorry, I'm sorry.
counter-current,hot heart	There are no problems with the tests. Do you have any symptoms of anti-acid fever of the heart?
difficult eating,weight down	How's your dinner? Have you lost appetite and weight?
