symptoms	sentences
abdominal pain	Hello, there's a pain in the belly. I don't know what's going on.
abdominal distention	The appetite is good, a little of abdominal swelling.
diarrhea	It's kind of like a diarrhea. It's a little like a tummy. Furthermore, it's after lunch.
disgusting	I'm 42 years old, I'm dizzy this morning, and I'm sick, I'm sick, I'm sick, I'm sick, I'm driving, I'm cold air conditioner, I'm intestinal inflammation.
abdominal pain	It hurt a little before, and now it's up.
heat	I think I might have a fever because I'm in pain.
loose stool	It's normal in the morning, it's a little dung in the evening. What's with the abdominal accompaniment?
blood in stool	There's no poo blood.
abdominal distention,abdominal pain	No, the small abdominal swelling on the left is painful.
loose stool	It's a little thin today.
chest pain	The left ribs hurt. It's pancreatic. What do we do?
disgusting	It's not disgusting.
chest pain	There was severe pain in the ribs on the left side of the stomach.
helicobacter infection	Unit medical check-ups, phantom scabs, this is the indicator. Do you need further treatment?
blood in stool,abdominal pain	Men, 36 years old, were examined for gastrointestinal inflammation and hysteria. Recently, there was blood in the anus, occasionally over the years, and a lot of blood was emitted after the stomach ache after dinner, and there was a blood clot in the back of the poop. It's always felt like there's something wrong with the intestinal. Used to smoke and drink a lot. (Men, 35 years old)
blood in stool	Hemorrhaging in the back of the shit is black and sticky blood clots.
abdominal pain	I don't know what I'm talking about. I don't know what I'm talking about.
loose stool	It's been a long time, and it's been a couple of days, and it's been bleeding again.
hemorrhoid	You can look for hemorrhoids if you make an intestinal mirror.
disgusting	I've been feeling sick during the day. I've been sick. Furthermore, I'm sick of vomiting. From 10:00 a.m. to afternoon, it's just a sudden panic and vomiting.
stomach ache	And then there were occasional stomach pains in the last few years, but they weren't serious.
difficult eating	My grandmother ate her herded herbicides, and now she's ruined, and she can't eat.
hiccup	My mother-in-law suffers from coronary cerebral cerebral cerebral sclerosis.
hiccup,counter-current	I don't even know if there's any anti-acid, until there's burp, it's very obvious.
difficult eating,disgusting,counter-current,abdominal pain	After a month of abdominal pain around the belly umbilical cord, I am now reticent in my glands, brushing my teeth daily, disinfection, which may cause the gastrointestinal function to decline, not to eat every morning, not to be hungry, but to eat less, but with some poop, individuals suspect that because of anti-acid acid, the gastrointestinal function has caused the poop to pile up around the navel, can't get out, can't feel the anus, can't get out every time, and want to ask how it should be treated and the glenoid residue does not want to be operated.
disgusting,stomach ache	Sooner or later, the stomach hurts, and the food doesn't hurt.Shit's normal, it's not disgusting.(Men, 27)
diarrhea,bowel sound,ventilation	I've been thinking about taking a shit lately, twice today. It's not too rare. I can't take a tummy out. It's like trying to fart and come back to my stomach.
ventilation	It doesn't hurt, but I kind of want to fart. The menstruation stopped for a week.
disgusting	I'm taking two pills every day without the nausea I used to be.
disgusting	I'm taking pills every day for the recovery period. There's no such disgusting symptoms anymore.
hematemesis	Doctor, this is my question: What's the reason for the sudden vomiting of blood?
diarrhea	I had acute diarrhea, I went to the hospital, the doctor gave me a liquid, and it didn't work. How am I supposed to treat it?
diarrhea,abdominal pain	Every time the diarrhea hurts my stomach.
sore throat,dysphagia,cough	Hello, doctor, having diagnosed an ulcer the previous two weeks, he's been using acid and protection pills for the stomach mucous membrane, but lately his throat is tickling, and he's coughing and swallowing larynx.
disgusting	I can't stand the smell of fried meat. I'm going to throw up.
disgusting	I'm going to give up my mind.
blood in stool	Hello. Sometimes I'm constipated and there's no blood on the shit, but there's blood on the paper. But if I'm not constipated, there's no blood. What's going on?
hemorrhoid	Is this anal fracture or hemorrhoid?
abdominal pain	It hurts on the left. It hurts when you move your feet. What's going on?
seung jo	It's been a long time since I've had a lot of food. It's never been there before. Furthermore, it's not very sensitive to the smell.
diarrhea	It's the same thing when you have a barbecue, you have a tummy, you have a hot pot. It's not like that. I don't know why it's the same day.
abdominal pain	It's the left side of the stomach. I can't tell what it hurts.
hemorrhoid	I can't believe it.
restlessness	No, in the past six months, anxiety has been acute, sometimes with food and sometimes with little.
diarrhea	Doctor, I've had a month of diarrhea before, a few times a day, once a day now, almost no pain, no vomiting, a lot of water to cruciate, more clean, more than a week of medication, no obvious change. What's going on?
indigestion	Hello, I'd like to ask if eating doesn't digest and ceasing this is going to go to the digestive section.
abdominal distention,abdominal pain	Must be an intestinal problem with the lower abdominal pain? Is there any other possibility?
frustration	The whole body's weak.
shortness of breath	Are kidney hypothermia leading to short chest air? How can this be improved?
abdominal distention,abdominal pain	Abdominal swollen, abdominal abdominal pain and abstinence a little hard, a little above the left side of the navel, and a sense of stinging (Men, 56 years old)
disgusting,hematemesis	I'm so sorry, I'm so sorry.
hematemesis	It's been four days. It's the feeling that something to eat is stuck in the heart, that a little of blood was thrown up the other morning, that a little of blood just came out of the pain, that the blood was dark red.
disgusting,abdominal distention,frustration,diarrhea,gastrointestinal discomfort,abdominal pain	There's gastric inflammation and gastroenteritis has continued to burn at 37 in the past few days. The pains of the abdominal pains of about two a while, but the appetite increases more than usual, and the stomach gets sick, the stomach gets sick, the head gets dizzy, but it doesn't get serious, but it's a little stunned once a day, but it's not very serious.
